COUPON_UPC,PRODUCT_ID,CAMPAIGN
10000089061,27160,4
52100020075,28929,1
52100020075,29096,1
10000089061,29977,4
53450050033,31349,4
51111030050,32387,1
53450050033,32491,4
51111030050,32805,1
51111030050,33198,1
52100020075,34180,1
54100010032,34214,3
52100020075,34331,1
52100020075,34776,1
53800030050,49910,2
51380040009,61169,1
52400000031,61385,1
51111074175,61481,2
51111074175,61509,2
52400000031,62904,1
51514111050,64543,4
52400000031,64551,1
51300010013,65969,5
51300010013,66323,5
51300010013,67208,5
51300010013,67481,5
52000030042,67573,2
51300010013,67676,5
55000081033,68122,4
52100020075,68168,1
52100020075,68862,1
52400000031,68869,1
51300010013,69613,5
51300010013,69739,5
52100020075,69982,1
51300010013,70258,5
51300010013,70586,5
51300010013,70665,5
51111122075,70714,3
51111122077,70714,3
52800051060,71114,4
52400000031,71198,1
51300010013,71695,5
54100024932,71794,3
52400000031,72013,1
55000081033,72110,4
53620010028,72290,3
53620010001,72290,3
52740020050,72302,3
51300010013,72446,5
52400000031,72547,1
53700060051,73428,7
51111131077,73681,3
51111131075,73681,3
52400000031,74671,1
53700060051,74892,7
52400000031,75076,1
51111124078,75237,3
51111120076,75237,3
54800110055,75637,3
52740020050,75901,3
51300010013,75916,5
54800110055,76487,3
52740020050,76743,3
51111124078,78280,3
51111120076,78280,3
52400000031,78851,1
51300010013,79230,5
54300026150,79283,4
53320051055,80493,7
53320051055,80553,7
55000081033,80621,4
54670400033,80730,2
53620010001,81353,3
53620010028,81353,3
51111074175,82937,2
53620010001,83153,3
53620010028,83153,3
54300026150,83570,4
54300026150,84265,4
54100010032,84511,3
52740020050,84572,3
53620010001,84957,3
53620010028,84957,3
52400000031,85176,1
54670400033,85737,2
54300026150,85779,4
53620010001,86148,3
53620010028,86148,3
53620010001,86378,3
53620010028,86378,3
54300026150,86442,4
51111074175,86772,2
53620010028,87639,3
53620010001,87639,3
54100027032,88223,3
54100027032,88914,3
53620010001,89337,3
53620010028,89337,3
52100012050,89509,1
52100020075,89519,1
54100027032,90473,3
52400000031,92018,1
53620010001,92436,3
53620010028,92436,3
54670400033,92902,2
51300010013,93513,5
51500050013,93587,5
51111124078,94950,3
51111120076,94950,3
52100020075,94994,1
51500050013,96069,5
51500050013,97049,5
51500050013,97773,5
52740020050,97960,3
52400000031,97991,1
52400000031,98720,1
52400000031,99835,1
51500050013,99862,5
51500050013,101323,5
51500050013,101345,5
51500050013,101523,5
53800030050,101775,2
52100020075,101922,1
51500050013,102901,5
51500050013,103568,5
51500050013,104220,5
53800030050,104681,2
52400000031,105146,1
52100020075,105237,1
51500050013,105464,5
51500050013,105511,5
51500050013,105512,5
51500050013,105544,5
57045970076,106388,2
53800030050,106800,2
53620010028,110183,3
54100027032,110469,3
53700060051,110801,7
51300010013,111079,5
51500050013,111677,5
54800110055,116799,3
54800110055,118224,3
51300010013,119118,5
52740020050,119885,3
51500050013,120472,5
52740020050,126936,3
52400000031,128047,1
52740020050,132725,3
52400000031,134954,1
52740020050,138529,3
50813700076,161406,5
50813700076,190498,5
52400000031,204752,1
57045970076,253428,2
52400000031,253490,1
57045970076,257951,2
52277610055,265906,4
52277610055,266098,4
53700048182,285957,5
54420933024,313138,4
54420933024,314018,4
52500000075,328274,1
52500000075,330585,1
52500000075,334648,1
57410101082,336243,5
57218050076,352930,2
52100012050,359526,1
52100012050,359707,1
52000030042,369846,2
53100010076,371166,2
53100010076,382255,2
54610030075,392610,1
54420933024,399391,4
54420933024,400903,4
54420933024,401145,4
54420933024,401146,4
57218050076,406349,2
54420933024,409384,4
53800030050,428852,2
57265521233,429922,1
52400000031,430360,1
57265521233,434543,1
57265521233,434697,1
57265521233,434994,1
53800030050,435778,2
57265521233,437011,1
53800030050,437153,2
